Product,Review_Text,Rating,Sentiment
Air Fryer,This Air Fryer is great. the coffee maker brews quickly and keeps the coffee hot. Love it!,5,Positive
Running Shoes,"For a Running Shoes, decent quality for the price, but don't expect anything extraordinary.",3,Neutral
Wireless Headphones,"Got this Wireless Headphones last week. not bad for the price, but there are better options available.",3,Neutral
Ergonomic Office Chair,"Not bad for the price, but there are better options available.",3,Neutral
Electric Toothbrush,This Electric Toothbrush was a complete letdown. extremely disappointed. The item looks nothing like the picture.,1,Negative
Laptop Stand,"For a Laptop Stand, it works, but the user interface is a bit dated and slow.",3,Neutral
Robot Vacuum,Bought this Robot Vacuum and regret it. avoid at all costs! The product has a strong chemical smell and is defective.,1,Negative
Robot Vacuum,I bought this Robot Vacuum and very happy with this purchase. It is worth every single penny.,5,Positive
Running Shoes,"Got this Running Shoes last week. it does what it says, but the customer support was hard to reach.",3,Neutral
Robot Vacuum,This Robot Vacuum was a complete letdown. very noisy and vibrates too much. It is extremely annoying to use.,2,Negative
Espresso Machine,"For a Espresso Machine, it is decent. Nothing to complain about but nothing to praise either.",3,Neutral
Robot Vacuum,"For a Robot Vacuum, it is acceptable. Not the best build quality but works for now.",3,Neutral
Ergonomic Office Chair,Avoid at all costs! The product has a strong chemical smell and is defective.,2,Negative
Espresso Machine,Beautiful design and highly functional. It looks great in my living room.,4,Positive
Laptop Stand,The screen is blurry and has dead pixels. Zero quality control.,2,Negative
Running Shoes,My new Running Shoes arrived and beautiful design and highly functional. It looks great in my living room.,4,Positive
Air Fryer,It serves its purpose. Neither disappointed nor overly impressed.,3,Neutral
Ergonomic Office Chair,"For a Ergonomic Office Chair, it is acceptable. Not the best build quality but works for now.",3,Neutral
Air Fryer,It is acceptable. Not the best build quality but works for now.,3,Neutral
Robot Vacuum,Outstanding customer service. They resolved my query within minutes.,5,Positive
Ergonomic Office Chair,Do not buy this Ergonomic Office Chair! very noisy and vibrates too much. It is extremely annoying to use.,2,Negative
Laptop Stand,I bought this Laptop Stand and very robust construction and high-quality materials. Highly durable.,4,Positive
Electric Toothbrush,I bought this Electric Toothbrush and quiet and efficient vacuum cleaner. It picks up pet hair easily.,4,Positive
Robot Vacuum,Bought this Robot Vacuum and regret it. the package arrived missing half the parts. Had to return it immediately.,1,Negative
Robot Vacuum,I bought this Robot Vacuum and absolutely love this product! It works perfectly and exceeds all my expectations.,4,Positive
Wireless Headphones,My new Wireless Headphones arrived and really simple to set up and use. The user manual was clear and helpful.,4,Positive
Smart Watch,I bought this Smart Watch and excellent picture quality and great sound on this TV. Highly recommended.,5,Positive
Bluetooth Speaker,"Regarding this Bluetooth Speaker, it's a fair product. Satisfactory performance but not outstanding.",3,Neutral
Espresso Machine,It serves its purpose. Neither disappointed nor overly impressed.,3,Neutral
Electric Toothbrush,"Do not buy this Electric Toothbrush! the size is completely wrong, way too tight and uncomfortable to wear.",1,Negative
Air Fryer,I bought this Air Fryer and very fast performance and sleek design. Couldn't ask for a better laptop.,5,Positive
Air Fryer,Beautiful design and highly functional. It looks great in my living room.,4,Positive
Air Fryer,"Regarding this Air Fryer, it's a fair product. Satisfactory performance but not outstanding.",3,Neutral
Smart Watch,My new Smart Watch arrived and outstanding customer service. They resolved my query within minutes.,5,Positive
Electric Toothbrush,This Electric Toothbrush was a complete letdown. very poor quality. The material is flimsy and feels like it will break easily.,1,Negative
Running Shoes,Do not buy this Running Shoes! it is way too overpriced for such low-quality materials. Highly disappointed.,1,Negative
Laptop Stand,Great book! Couldn't put it down. Highly recommend to everyone.,4,Positive
Running Shoes,"For a Running Shoes, the packaging was damaged, but the product inside was fine.",3,Neutral
Ergonomic Office Chair,This Ergonomic Office Chair was a complete letdown. very slow and laggy. The app crashes every time I try to open it.,1,Negative
Wireless Headphones,I bought this Wireless Headphones and absolutely love this product! It works perfectly and exceeds all my expectations.,4,Positive
Running Shoes,Worst purchase ever. The battery dies in two hours and it gets extremely hot.,2,Negative
Bluetooth Speaker,My new Bluetooth Speaker arrived and the coffee maker brews quickly and keeps the coffee hot. Love it!,5,Positive
Running Shoes,This Running Shoes is great. very lightweight and easy to carry around. Ideal for travel.,4,Positive
Running Shoes,This Running Shoes was a complete letdown. the product arrived broken and the return process has been a nightmare.,2,Negative
Espresso Machine,"Regarding this Espresso Machine, it works, but the user interface is a bit dated and slow.",3,Neutral
Espresso Machine,Bought this Espresso Machine and regret it. worst purchase ever. The battery dies in two hours and it gets extremely hot.,1,Negative
Air Fryer,The product arrived broken and the return process has been a nightmare.,1,Negative
Ergonomic Office Chair,"For a Ergonomic Office Chair, the fabric is fine, but the color is slightly different from the photos.",3,Neutral
Electric Toothbrush,"For a Electric Toothbrush, average sound quality, lack of bass but acceptable for casual listening.",3,Neutral
Robot Vacuum,"I bought this Robot Vacuum and super comfortable shoes, perfect for running. Will definitely buy again.",5,Positive
Ergonomic Office Chair,"Not a bad purchase, but I am not fully convinced it's worth the price.",3,Neutral
Air Fryer,The package arrived missing half the parts. Had to return it immediately.,1,Negative
Laptop Stand,"Got this Laptop Stand last week. instructions were mediocre, but I managed to set it up eventually.",3,Neutral
Electric Toothbrush,"Regarding this Electric Toothbrush, a standard product. Works well enough for basic everyday tasks.",3,Neutral
Running Shoes,It serves its purpose. Neither disappointed nor overly impressed.,3,Neutral
